amareggiare,USem6593amareggiare,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,amareggiare,USem6530amareggiare,V,Cause_Experience_Event
avvilire,USem6594avvilire,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,avvilire,USem6532avvilire,V,Cause_Experience_Event
emozionare,USem6595emozionare,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,emozionare,USem6539emozionare,V,Cause_Experience_Event
entusiasmare,USem6596entusiasmare,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,entusiasmare,USem6540entusiasmare,V,Cause_Experience_Event
esasperare,USem6598esasperare,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,esasperare,USem6541esasperare,V,Cause_Experience_Event
impressionare,USem6599impressionare,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,impressionare,USem6542impressionare,V,Cause_Experience_Event
indignare,USem6600indignare,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,indignare,USem6544indignare,V,Cause_Experience_Event
stupire,USem6602stupire,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,stupire,USem6558stupire,V,Cause_Experience_Event
consolare,USem6604consolare,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,consolare,USem6535consolare,V,Cause_Experience_Event
divertire,USem6605divertire,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,divertire,USem6537divertire,V,Cause_Experience_Event
infastidire,USem6607infastidire,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,infastidire,USem6545infastidire,V,Cause_Experience_Event
intimidire,USem6608intimidire,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,intimidire,USem6547intimidire,V,Cause_Experience_Event
mortificare,USem6609mortificare,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,mortificare,USem6550mortificare,V,Cause_Experience_Event
placare,USem6610placare,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,placare,USem6527placare,V,Cause_Experience_Event
sbalordire,USem6611sbalordire,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,sbalordire,USem6553sbalordire,V,Cause_Experience_Event
sconcertare,USem6612sconcertare,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,sconcertare,USem6555sconcertare,V,Cause_Experience_Event
spaventare,USem6613spaventare,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,spaventare,USem6557spaventare,V,Cause_Experience_Event
amareggiare,USem6530amareggiare,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,amareggiare,USem6593amareggiare,V,Experience_Event
avvilire,USem6532avvilire,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,avvilire,USem6594avvilire,V,Experience_Event
consolare,USem6535consolare,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,consolare,USem6604consolare,V,Experience_Event
divertire,USem6537divertire,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,divertire,USem6605divertire,V,Experience_Event
emozionare,USem6539emozionare,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,emozionare,USem6595emozionare,V,Experience_Event
entusiasmare,USem6540entusiasmare,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,entusiasmare,USem6596entusiasmare,V,Experience_Event
esaltare,USem6524esaltare,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,esaltare,USem76975esaltare,V,Experience_Event
esasperare,USem6541esasperare,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,esasperare,USem6598esasperare,V,Experience_Event
impressionare,USem6542impressionare,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,impressionare,USem6599impressionare,V,Experience_Event
indignare,USem6544indignare,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,indignare,USem6600indignare,V,Experience_Event
infastidire,USem6545infastidire,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,infastidire,USem6607infastidire,V,Experience_Event
intimidire,USem6547intimidire,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,intimidire,USem6608intimidire,V,Experience_Event
meravigliare,USem6561meravigliare,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,meravigliare,USem6601meravigliare,V,Experience_Event
mortificare,USem6550mortificare,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,mortificare,USem6609mortificare,V,Experience_Event
placare,USem6527placare,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,placare,USem6610placare,V,Experience_Event
sbalordire,USem6553sbalordire,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,sbalordire,USem6611sbalordire,V,Experience_Event
sconcertare,USem6555sconcertare,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,sconcertare,USem6612sconcertare,V,Experience_Event
spaventare,USem6557spaventare,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,spaventare,USem6613spaventare,V,Experience_Event
stupire,USem6558stupire,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,stupire,USem6602stupire,V,Experience_Event
angosciare,USem60340angosciare,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,angosciare,USem69168angosciare,V,Cause_Experience_Event
angustiare,USem60348angustiare,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,angustiare,USem73119angustiare,V,Cause_Experience_Event
contentare,USem60364contentare,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,contentare,USem60161contentare,V,Cause_Experience_Event
contentare,USem60161contentare,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,contentare,USem60364contentare,V,Experience_Event
inquietare,USem60431inquietare,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,inquietare,USem60163inquietare,V,Cause_Experience_Event
inquietare,USem60163inquietare,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,inquietare,USem60431inquietare,V,Experience_Event
agitare,USem60313agitare,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,agitare,USem60160agitare,V,Cause_Experience_Event
agitare,USem60160agitare,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,agitare,USem60313agitare,V,Experience_Event
preoccupare,USem60093preoccupare,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,preoccupare,USem6551preoccupare,V,Cause_Experience_Event
preoccupare,USem6551preoccupare,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,preoccupare,USem60093preoccupare,V,Experience_Event
sconvolgere,USem60578sconvolgere,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,sconvolgere,USem60165sconvolgere,V,Cause_Experience_Event
sconvolgere,USem60165sconvolgere,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,sconvolgere,USem60578sconvolgere,V,Experience_Event
addolorare,USem60689addolorare,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,addolorare,USem60690addolorare,V,Experience_Event
addolorare,USem60690addolorare,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,addolorare,USem60689addolorare,V,Cause_Experience_Event
affliggere,USem60694affliggere,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,affliggere,USem60693affliggere,V,Cause_Experience_Event
affliggere,USem60693affliggere,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,affliggere,USem60694affliggere,V,Experience_Event
rattristare,USem60696rattristare,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,rattristare,USem60698rattristare,V,Experience_Event
rattristare,USem60698rattristare,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,rattristare,USem60696rattristare,V,Cause_Experience_Event
abbattere,USem60699abbattere,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,abbattere,USem60700abbattere,V,Experience_Event
abbattere,USem60700abbattere,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,abbattere,USem60699abbattere,V,Cause_Experience_Event
eccitare,USem60710eccitare,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,eccitare,USem6538eccitare,V,Cause_Experience_Event
eccitare,USem6538eccitare,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,eccitare,USem60710eccitare,V,Experience_Event
scoraggiare,USem60716scoraggiare,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,scoraggiare,USem60718scoraggiare,V,Experience_Event
scoraggiare,USem60718scoraggiare,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,scoraggiare,USem60716scoraggiare,V,Cause_Experience_Event
irritare,USem6549irritare,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,irritare,USem61402irritare,V,Experience_Event
sorprendere,USem61484sorprendere,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,sorprendere,USem6556sorprendere,V,Cause_Experience_Event
sorprendere,USem6556sorprendere,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,sorprendere,USem61484sorprendere,V,Experience_Event
estasiare,USem61543estasiare,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,estasiare,USem61542estasiare,V,Cause_Experience_Event
estasiare,USem61542estasiare,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,estasiare,USem61543estasiare,V,Experience_Event
deprimere,USemD6884deprimere,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,deprimere,USemD6885deprimere,V,Experience_Event
deprimere,USemD6885deprimere,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,deprimere,USemD6884deprimere,V,Cause_Experience_Event
annoiare,USem62176annoiare,V,Cause_Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,annoiare,USemD6900annoiare,V,Experience_Event
annoiare,USemD6900annoiare,V,Experience_Event,PolysemyExperienceEvent-CauseExperienceEvent,Polysemy,annoiare,USem62176annoiare,V,Cause_Experience_Event
